contestId,index,name,tags,rating,solvedCount
2067,B,Two Large Bags,"['brute force', 'dp', 'greedy', 'sortings']",1200,16500
2067,A,Adjacent Digit Sums,"['brute force', 'constructive algorithms', 'math']",800,23703
2066,F,Curse,"['constructive algorithms', 'dp', 'math']",3300,51
2066,E,Tropical Season,"['binary search', 'data structures', 'greedy', 'implementation']",3300,306
2066,D2,Club of Young Aircraft Builders (hard version),"['combinatorics', 'dp', 'math']",2900,455
2066,D1,Club of Young Aircraft Builders (easy version),"['combinatorics', 'dp', 'math']",2400,1110
2066,C,Bitwise Slides,"['bitmasks', 'combinatorics', 'dp', 'math']",2300,1974
2066,B,White Magic,"['constructive algorithms', 'data structures', 'dp', 'greedy', 'implementation']",1900,4462
2066,A,Object Identification,"['graphs', 'greedy', 'implementation', 'interactive']",1400,6029
2065,H,Bro Thinks He's Him,"['combinatorics', 'data structures', 'divide and conquer', 'dp', 'math', 'matrices']",2200,1578
2065,G,Skibidus and Capping,"['combinatorics', 'math', 'number theory']",1700,4997
2065,F,Skibidus and Slay,"['data structures', 'dfs and similar', 'graphs', 'greedy', 'trees']",1700,5723
2065,E,Skibidus and Rizz,"['constructive algorithms', 'greedy', 'strings']",1600,9954
2065,D,Skibidus and Sigma,"['greedy', 'sortings']",1200,17819
2065,C2,Skibidus and Fanum Tax (hard version),"['binary search', 'greedy']",1300,15933
2065,C1,Skibidus and Fanum Tax (easy version),"['binary search', 'dp', 'greedy']",1100,24009
2065,B,Skibidus and Ohio,['strings'],800,36100
2065,A,Skibidus and Amog'u,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'strings']",800,47319
2064,F,We Be Summing,"['binary search', 'data structures', 'dp', 'two pointers']",2600,555
2064,E,Mycraft Sand Sort,"['combinatorics', 'data structures', 'dsu', 'greedy', 'math', 'sortings']",2400,1140
2064,D,Eating,"['binary search', 'bitmasks', 'brute force', 'data structures', 'dp', 'greedy', 'trees', 'two pointers']",1900,4884
2064,C,Remove the Ends,"['brute force', 'constructive algorithms', 'dp', 'greedy']",1300,15261
2064,B,Variety is Discouraged,"['binary search', 'constructive algorithms', 'greedy', 'two pointers']",1100,18005
2064,A,Brogramming Contest,"['greedy', 'strings']",800,25228
2063,F2,Counting Is Not Fun (Hard Version),"['combinatorics', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'implementation', 'trees']",2700,736
2063,F1,Counting Is Not Fun (Easy Version),"['combinatorics', 'data structures', 'dfs and similar', 'dp', 'dsu', 'graphs', 'hashing', 'implementation', 'math', 'trees']",2400,1267
2063,E,Triangle Tree,"['data structures', 'dfs and similar', 'dp', 'greedy', 'trees']",2300,2000
2063,D,Game With Triangles,"['binary search', 'brute force', 'data structures', 'geometry', 'greedy', 'implementation', 'math', 'ternary search', 'two pointers']",2000,4318
2063,C,Remove Exactly Two,"['brute force', 'data structures', 'dfs and similar', 'dp', 'graphs', 'greedy', 'sortings', 'trees']",1600,12348
2063,B,Subsequence Update,"['constructive algorithms', 'data structures', 'greedy', 'sortings']",1100,21164
2063,A,Minimal Coprime,"['math', 'number theory']",800,29270
2062,H,Galaxy Generator,"['bitmasks', 'combinatorics', 'dp']",3500,113
2062,G,Permutation Factory,"['flows', 'geometry', 'graph matchings', 'graphs']",3500,125
